,Good,Satisfactory,Moderate,Poor,Very Poor,Severe
Good,116,0,0,0,0,0
Satisfactory,14,51,4,0,0,0
Moderate,0,0,4,0,0,0
Poor,0,0,0,0,0,0
Very Poor,0,0,0,0,0,0
Severe,0,0,0,0,0,0
