,Good,Satisfactory,Moderate,Poor,Very Poor,Severe
Good,91,0,0,0,0,0
Satisfactory,3,19,0,0,0,0
Moderate,0,0,0,0,0,0
Poor,0,0,0,0,0,0
Very Poor,0,0,0,0,0,0
Severe,0,0,0,0,0,0
