,Good,Satisfactory,Moderate,Poor,Very Poor,Severe
Good,108,1,0,0,0,0
Satisfactory,3,9,0,0,0,0
Moderate,0,2,2,0,0,0
Poor,0,0,0,0,0,0
Very Poor,0,0,0,0,0,0
Severe,0,0,0,0,0,0
