Model,RMSE,MAE,R2,MAPE
Baseline_LastValue,27.42041669410914,13.58475633528265,-2.2169425039063597,109.15553312261801
Baseline_Seasonal24,23.781827884331495,18.69466861598441,-1.4198344858795924,154.71163406681845
Linear Regression,17.044819484806876,3.809190677984402,-0.24302542154907814,42.388391142074425
Lasso(alpha=0.1),16.686601519499604,3.845602638280883,-0.19132701014801556,43.769571827661736
Random Forest,4.365783037823851,2.6459968880806968,0.9184508390984071,27.252104871479254
XGBoost,4.119428945273611,2.5869708012697985,0.9273945484309267,29.67523211962374
Ensemble_RF_XGB(w=0.4),4.152154423473466,2.558912469643349,0.9262363849916635,28.41761904486409
LSTM,9.743046540380737,7.891536952449744,0.5841310873573573,82.45730035637713
