Model,RMSE,MAE,R2,MAPE
Linear Regression,27.521120637117725,10.992370771397086,0.6671330340891182,21.55871953474022
Random Forest,18.831797718593894,9.461880597240562,0.8441445367007794,19.340596235733422
XGBoost,16.559676430530413,8.870948561293938,0.8794847065638374,19.218562065990014
LSTM,43.533683361544306,33.72397769641683,0.17021370668109637,82.2951508460277
