file,location,frequency,status,error,header_found,rows_after_datetime_parse,mapped_columns_count,missing_cells,rows_with_missing,invalid_negative,invalid_gt500,duplicate_timestamps,irregular_gaps
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\april-23\Octo-23\DCR AIIMS_RAIPUR _ QUAT - Octo -2023.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\april-23\Octo-23\DCR AIIMS_RAIPUR_ Hourly - Octo-2023.xls,AIIMS,Hourly,ok,,True,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\april-23\sept-23\DCR AIIMS_RAIPUR _ QUAT - Sept-2023.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\april-23\sept-23\DCR AIIMS_RAIPUR_ Hourly - Sept-2023.xls,AIIMS,Hourly,ok,,True,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\AUG-23\DCR AIIMS_RAIPUR _ QUAT  -2023.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\AUG-23\DCR AIIMS_RAIPUR_ Hourly -AUG-2023.xls,AIIMS,Hourly,ok,,True,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\Decm 23\DCR AIIMS_RAIPUR _ Hourly - DECM -2023 (2).xls,AIIMS,Hourly,ok,,True,23.0,12.0,23.0,23.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\Decm 23\DCR AIIMS_RAIPUR _ QUAT - DECM-2023.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,52.0,52.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\feb-23\DCR AIIMS_RAIPUR _ QUAT - FEB -2023.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\feb-23\DCR AIIMS_RAIPUR_ Hourly - FEB-2023.xls,AIIMS,Hourly,ok,,True,23.0,12.0,7.0,5.0,0.0,0.0,0.0,0.0
