,Good,Satisfactory,Moderate,Poor,Very Poor,Severe
Good,103,1,0,0,0,0
Satisfactory,1,9,3,0,0,0
Moderate,0,2,12,0,0,0
Poor,0,0,0,0,0,0
Very Poor,0,0,0,0,0,0
Severe,0,0,0,0,0,0
