,Good,Satisfactory,Moderate,Poor,Very Poor,Severe
Good,42,12,0,0,0,0
Satisfactory,6,19,3,0,0,0
Moderate,0,2,1,0,0,0
Poor,0,0,1,0,0,0
Very Poor,0,0,0,0,0,0
Severe,0,0,0,0,0,0
