,Good,Satisfactory,Moderate,Poor,Very Poor,Severe
Good,72,3,0,0,0,0
Satisfactory,2,35,0,0,0,0
Moderate,0,0,0,0,0,0
Poor,0,0,0,0,0,0
Very Poor,0,0,0,0,0,0
Severe,0,0,0,0,0,0
